,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
74,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 119, 0, 0, 0)",,,map_read_frame,_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.516719
75,"('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 119, 0, 0, 0)",,,chunk_min,chunk_min-5a09aab47a69898004101a2c5b6e1b96,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5174959
76,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5182757
77,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5190818
78,"('array-8838909ee9756e34565341881e2e6f0c', 118)",,,array,array-8838909ee9756e34565341881e2e6f0c,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.519815
79,"('array-8838909ee9756e34565341881e2e6f0c', 118)",,,array,array-8838909ee9756e34565341881e2e6f0c,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5205758
80,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 118, 0, 0, 0)",,,map_read_frame,_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5213413
81,"('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 118, 0, 0, 0)",,,chunk_min,chunk_min-5a09aab47a69898004101a2c5b6e1b96,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5220761
82,"('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 59, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5228255
83,"('chunk_max-f51ddbdd2414581636b6798cd76ef954', 119, 0, 0, 0)",,,chunk_max,chunk_max-f51ddbdd2414581636b6798cd76ef954,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.523567
84,"('chunk_max-f51ddbdd2414581636b6798cd76ef954', 118, 0, 0, 0)",,,chunk_max,chunk_max-f51ddbdd2414581636b6798cd76ef954,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5243142
85,"('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 59, 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5250795
86,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 117, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5258322
87,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 117, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5266128
88,"('array-8838909ee9756e34565341881e2e6f0c', 117)",,,array,array-8838909ee9756e34565341881e2e6f0c,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5273361
89,"('array-8838909ee9756e34565341881e2e6f0c', 117)",,,array,array-8838909ee9756e34565341881e2e6f0c,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5281413
90,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 117, 0, 0, 0)",,,map_read_frame,_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5288432
91,"('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 117, 0, 0, 0)",,,chunk_min,chunk_min-5a09aab47a69898004101a2c5b6e1b96,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5295978
92,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 116, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5303242
93,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 116, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.531096
94,"('array-8838909ee9756e34565341881e2e6f0c', 116)",,,array,array-8838909ee9756e34565341881e2e6f0c,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5318327
95,"('array-8838909ee9756e34565341881e2e6f0c', 116)",,,array,array-8838909ee9756e34565341881e2e6f0c,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.532615
96,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 116, 0, 0, 0)",,,map_read_frame,_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5333557
97,"('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 116, 0, 0, 0)",,,chunk_min,chunk_min-5a09aab47a69898004101a2c5b6e1b96,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.534102
98,"('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 58, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5348394
99,"('chunk_min-partial-8dd005561753a0069a30a564b3da22ea', 29, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-8dd005561753a0069a30a564b3da22ea,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5355737
100,"('chunk_max-f51ddbdd2414581636b6798cd76ef954', 117, 0, 0, 0)",,,chunk_max,chunk_max-f51ddbdd2414581636b6798cd76ef954,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5363104
